host,port,protocol,country,anonymity,response_time,last_tested,success_rate,ssl_support
8.213.156.191,8081,http,,,8.466467380523682,2025-07-21 11:07:07.088360+00:00,100.0,False
149.129.255.179,51,http,,,7.056960821151733,2025-07-21 11:07:06.502752+00:00,100.0,False
47.252.11.233,999,http,,,5.997735261917114,2025-07-21 11:07:05.811127+00:00,100.0,False
187.19.198.130,8080,http,,,6.776434421539307,2025-07-21 11:07:06.770242+00:00,100.0,False
47.238.60.156,8080,http,,,6.757002830505371,2025-07-21 11:07:08.740445+00:00,100.0,False
8.211.200.183,1080,http,,,8.610050916671753,2025-07-21 11:07:14.232502+00:00,100.0,False
43.217.116.234,16170,http,,,4.642730474472046,2025-07-21 11:07:11.649528+00:00,100.0,False
8.213.215.187,10000,http,,,6.71271538734436,2025-07-21 11:07:15.485196+00:00,100.0,False
190.145.227.114,999,http,,,3.8650481700897217,2025-07-21 11:07:15.485467+00:00,100.0,False
8.213.128.90,8808,http,,,8.492666721343994,2025-07-21 11:07:25.351472+00:00,100.0,False
103.172.70.30,1111,http,,,6.926977157592773,2025-07-21 11:07:25.787553+00:00,100.0,False
138.68.60.8,80,http,,,3.5420408248901367,2025-07-21 11:07:25.787367+00:00,100.0,False
8.211.51.115,8443,http,,,8.40395736694336,2025-07-21 11:07:37.407661+00:00,100.0,False
149.129.226.9,8443,http,,,6.881591320037842,2025-07-21 11:07:39.746217+00:00,100.0,False
47.252.29.28,11222,http,,,7.661970615386963,2025-07-21 11:07:43.986746+00:00,100.0,False
195.158.8.123,3128,http,,,7.19452428817749,2025-07-21 11:07:44.256128+00:00,100.0,True
47.90.167.27,8081,http,,,6.57488226890564,2025-07-21 11:07:47.286551+00:00,100.0,False
47.251.87.199,8081,http,,,6.262228012084961,2025-07-21 11:07:48.805379+00:00,100.0,False
47.76.144.139,3129,http,,,6.741209268569946,2025-07-21 11:07:51.715614+00:00,100.0,False
103.247.23.76,8081,http,,,9.153729915618896,2025-07-21 11:07:55.649743+00:00,100.0,False
8.221.141.88,9992,http,,,6.479327917098999,2025-07-21 11:07:54.169462+00:00,100.0,False
47.119.22.92,10000,http,,,7.009060621261597,2025-07-21 11:07:55.902261+00:00,100.0,False
47.122.57.58,8081,http,,,6.822319984436035,2025-07-21 11:07:55.902893+00:00,100.0,False
8.215.12.103,8011,http,,,6.859760284423828,2025-07-21 11:07:57.205087+00:00,100.0,False
8.213.129.20,999,http,,,7.635687351226807,2025-07-21 11:07:58.627174+00:00,100.0,False
37.27.253.44,8014,http,,,4.5625035762786865,2025-07-21 11:08:00.427848+00:00,100.0,True
8.213.197.208,3128,http,,,6.807852268218994,2025-07-21 11:08:02.914043+00:00,100.0,False
188.132.249.42,8080,http,,,5.319278955459595,2025-07-21 11:08:04.912964+00:00,100.0,False
85.117.60.131,8080,http,,,9.27763819694519,2025-07-21 11:08:09.561958+00:00,100.0,False
139.162.78.109,8080,http,,,3.0362606048583984,2025-07-21 11:08:06.544775+00:00,100.0,False
8.211.200.183,1720,http,,,6.184740304946899,2025-07-21 11:08:12.655862+00:00,100.0,False
8.215.3.250,8443,http,,,6.814231872558594,2025-07-21 11:08:14.341755+00:00,100.0,False
119.15.86.30,8080,http,,,7.065769195556641,2025-07-21 11:08:31.221306+00:00,100.0,False
18.179.46.106,999,http,,,4.464757204055786,2025-07-21 11:08:40.892148+00:00,100.0,True
27.71.141.171,16000,http,,,6.719184160232544,2025-07-21 11:08:47.188529+00:00,100.0,True
47.252.18.37,9080,http,,,6.159292221069336,2025-07-21 11:08:52.563455+00:00,100.0,False
47.238.130.212,8004,http,,,10.156224727630615,2025-07-21 11:08:59.773495+00:00,100.0,False
47.238.128.246,1000,http,,,6.911473512649536,2025-07-21 11:08:58.000622+00:00,100.0,False
47.122.65.254,8443,http,,,6.793735504150391,2025-07-21 11:08:59.285649+00:00,100.0,False
8.220.204.92,90,http,,,6.695741176605225,2025-07-21 11:09:02.440660+00:00,100.0,False
8.209.96.245,3128,http,,,6.292253494262695,2025-07-21 11:09:06.571196+00:00,100.0,False
27.147.140.129,58080,http,,,5.24577784538269,2025-07-21 11:09:05.587775+00:00,100.0,False
8.213.128.90,20,http,,,6.724138498306274,2025-07-21 11:09:09.577735+00:00,100.0,False
202.154.19.63,8083,http,,,9.970104932785034,2025-07-21 11:09:22.406047+00:00,100.0,False
81.223.55.43,8080,http,,,8.08157205581665,2025-07-21 11:09:25.795190+00:00,100.0,True
